2025-10-17 03:18:05 - INFO - ================================================================================
2025-10-17 03:18:05 - INFO - INICIO DE EJECUCIÓN - Algoritmo Genético España
2025-10-17 03:18:05 - INFO - Log guardado en: logs\Pob_3000_17_03_18.log
2025-10-17 03:18:05 - INFO - ================================================================================
2025-10-17 03:18:05 - INFO - 
================================================================================
2025-10-17 03:18:05 - INFO - ALGORITMO GENÉTICO
2025-10-17 03:18:05 - INFO - ================================================================================
2025-10-17 03:18:05 - INFO - Días: 20
2025-10-17 03:18:05 - INFO - Lugares/día: 12
2025-10-17 03:18:05 - INFO - Población: 3000
2025-10-17 03:18:05 - INFO - Tiempo límite: 8h 0m (8.00h)
2025-10-17 03:18:05 - INFO - Elitismo: 15%
2025-10-17 03:18:05 - INFO - Dataset: 1367 lugares en 10 ciudades
2025-10-17 03:18:05 - INFO - ================================================================================

2025-10-17 03:18:05 - INFO - Creando población inicial
2025-10-17 03:18:14 - INFO - Evaluando población inicial
2025-10-17 03:19:50 - INFO - 
Iniciando evolución (hasta 28800s)...

2025-10-17 04:12:01 - INFO -   Gen   45 | Tiempo:   53.4m (resta: 426m) | Fitness:   8529.3 | Puntos: 12491 | Dist:   205.6km
2025-10-17 04:13:13 - INFO -   Gen   47 | Tiempo:   54.5m (resta: 425m) | Fitness:   8529.3 | Puntos: 12491 | Dist:   205.6km
2025-10-17 04:14:28 - INFO -   Gen   49 | Tiempo:   55.7m (resta: 424m) | Fitness:   8529.3 | Puntos: 12491 | Dist:   205.6km
2025-10-17 04:15:05 - INFO -   Gen   50 | Tiempo:   56.4m (resta: 423m) | Fitness:   8529.3 | Puntos: 12491 | Dist:   205.6km
2025-10-17 04:16:18 - INFO -   Gen   52 | Tiempo:   57.6m (resta: 422m) | Fitness:   8529.3 | Puntos: 12491 | Dist:   205.6km
2025-10-17 04:17:28 - INFO -   Gen   54 | Tiempo:   58.8m (resta: 421m) | Fitness:   8529.3 | Puntos: 12491 | Dist:   205.6km
2025-10-17 04:18:39 - INFO -   Gen   56 | Tiempo:   60.0m (resta: 420m) | Fitness:   8529.3 | Puntos: 12491 | Dist:   205.6km
2025-10-17 04:19:51 - INFO -   Gen   58 | Tiempo:   61.2m (resta: 418m) | Fitness:   8705.7 | Puntos: 12376 | Dist:   234.3km
2025-10-17 04:21:03 - INFO -   Gen   60 | Tiempo:   62.4m (resta: 417m) | Fitness:   8705.7 | Puntos: 12376 | Dist:   234.3km
2025-10-17 04:22:13 - INFO -   Gen   62 | Tiempo:   63.5m (resta: 416m) | Fitness:   8705.7 | Puntos: 12376 | Dist:   234.3km
2025-10-17 04:23:26 - INFO -   Gen   64 | Tiempo:   64.7m (resta: 415m) | Fitness:   8705.7 | Puntos: 12376 | Dist:   234.3km
2025-10-17 04:24:37 - INFO -   Gen   66 | Tiempo:   65.9m (resta: 414m) | Fitness:   8705.7 | Puntos: 12376 | Dist:   234.3km
2025-10-17 04:25:50 - INFO -   Gen   68 | Tiempo:   67.1m (resta: 412m) | Fitness:   8705.7 | Puntos: 12376 | Dist:   234.3km
2025-10-17 04:27:04 - INFO -   Gen   70 | Tiempo:   68.4m (resta: 411m) | Fitness:   8705.7 | Puntos: 12376 | Dist:   234.3km
2025-10-17 04:28:18 - INFO -   Gen   72 | Tiempo:   69.6m (resta: 410m) | Fitness:   8705.7 | Puntos: 12376 | Dist:   234.3km
2025-10-17 04:29:32 - INFO -   Gen   74 | Tiempo:   70.8m (resta: 409m) | Fitness:   8824.9 | Puntos: 12488 | Dist:   210.2km
2025-10-17 04:30:50 - INFO -   Gen   76 | Tiempo:   72.1m (resta: 407m) | Fitness:   8824.9 | Puntos: 12488 | Dist:   210.2km
2025-10-17 04:32:09 - INFO -   Gen   78 | Tiempo:   73.4m (resta: 406m) | Fitness:   8824.9 | Puntos: 12488 | Dist:   210.2km
2025-10-17 04:33:26 - INFO -   Gen   80 | Tiempo:   74.7m (resta: 405m) | Fitness:   8824.9 | Puntos: 12488 | Dist:   210.2km
2025-10-17 04:34:44 - INFO -   Gen   82 | Tiempo:   76.0m (resta: 404m) | Fitness:   8873.7 | Puntos: 12335 | Dist:   204.4km
2025-10-17 04:36:01 - INFO -   Gen   84 | Tiempo:   77.3m (resta: 402m) | Fitness:   8873.7 | Puntos: 12335 | Dist:   204.4km
2025-10-17 04:37:20 - INFO -   Gen   86 | Tiempo:   78.6m (resta: 401m) | Fitness:   8873.7 | Puntos: 12335 | Dist:   204.4km
2025-10-17 04:38:37 - INFO -   Gen   88 | Tiempo:   79.9m (resta: 400m) | Fitness:   8873.7 | Puntos: 12335 | Dist:   204.4km
2025-10-17 04:39:54 - INFO -   Gen   90 | Tiempo:   81.2m (resta: 398m) | Fitness:   9049.8 | Puntos: 12614 | Dist:   213.9km
2025-10-17 04:41:12 - INFO -   Gen   92 | Tiempo:   82.4m (resta: 397m) | Fitness:   9049.8 | Puntos: 12614 | Dist:   213.9km
2025-10-17 04:42:32 - INFO -   Gen   94 | Tiempo:   83.8m (resta: 396m) | Fitness:   9049.8 | Puntos: 12614 | Dist:   213.9km
2025-10-17 04:43:54 - INFO -   Gen   96 | Tiempo:   85.1m (resta: 394m) | Fitness:   9049.8 | Puntos: 12614 | Dist:   213.9km
2025-10-17 04:45:14 - INFO -   Gen   98 | Tiempo:   86.5m (resta: 393m) | Fitness:   9049.8 | Puntos: 12614 | Dist:   213.9km
2025-10-17 04:46:34 - INFO -   Gen  100 | Tiempo:   87.8m (resta: 392m) | Fitness:   9101.1 | Puntos: 12462 | Dist:   202.9km
2025-10-17 04:47:52 - INFO -   Gen  102 | Tiempo:   89.1m (resta: 390m) | Fitness:   9187.7 | Puntos: 12748 | Dist:   201.1km
2025-10-17 04:49:09 - INFO -   Gen  104 | Tiempo:   90.4m (resta: 389m) | Fitness:   9187.7 | Puntos: 12748 | Dist:   201.1km
2025-10-17 04:50:28 - INFO -   Gen  106 | Tiempo:   91.7m (resta: 388m) | Fitness:   9187.7 | Puntos: 12748 | Dist:   201.1km
2025-10-17 04:51:46 - INFO -   Gen  108 | Tiempo:   93.0m (resta: 386m) | Fitness:   9283.1 | Puntos: 12643 | Dist:   199.8km
2025-10-17 04:52:58 - INFO -   Gen  110 | Tiempo:   94.3m (resta: 385m) | Fitness:   9283.1 | Puntos: 12643 | Dist:   199.8km
2025-10-17 04:54:09 - INFO -   Gen  112 | Tiempo:   95.5m (resta: 384m) | Fitness:   9283.1 | Puntos: 12643 | Dist:   199.8km
2025-10-17 04:55:18 - INFO -   Gen  114 | Tiempo:   96.6m (resta: 383m) | Fitness:   9283.1 | Puntos: 12643 | Dist:   199.8km
2025-10-17 04:56:24 - INFO -   Gen  116 | Tiempo:   97.8m (resta: 382m) | Fitness:   9302.2 | Puntos: 12674 | Dist:   239.5km
2025-10-17 04:57:29 - INFO -   Gen  118 | Tiempo:   98.9m (resta: 381m) | Fitness:   9302.2 | Puntos: 12674 | Dist:   239.5km
2025-10-17 04:58:34 - INFO -   Gen  120 | Tiempo:   99.9m (resta: 380m) | Fitness:   9302.2 | Puntos: 12674 | Dist:   239.5km
2025-10-17 04:59:37 - INFO -   Gen  122 | Tiempo:  101.0m (resta: 378m) | Fitness:   9302.2 | Puntos: 12674 | Dist:   239.5km
2025-10-17 05:00:38 - INFO -   Gen  124 | Tiempo:  102.1m (resta: 377m) | Fitness:   9377.4 | Puntos: 12647 | Dist:   232.1km
2025-10-17 05:02:06 - INFO -   Gen  127 | Tiempo:  103.5m (resta: 376m) | Fitness:   9377.4 | Puntos: 12647 | Dist:   232.1km
2025-10-17 05:03:33 - INFO -   Gen  130 | Tiempo:  105.0m (resta: 375m) | Fitness:   9377.4 | Puntos: 12647 | Dist:   232.1km
2025-10-17 05:04:59 - INFO -   Gen  133 | Tiempo:  106.4m (resta: 373m) | Fitness:   9377.4 | Puntos: 12647 | Dist:   232.1km
2025-10-17 05:06:23 - INFO -   Gen  136 | Tiempo:  107.8m (resta: 372m) | Fitness:   9409.3 | Puntos: 12773 | Dist:   212.4km
2025-10-17 05:07:45 - INFO -   Gen  139 | Tiempo:  109.2m (resta: 370m) | Fitness:   9487.0 | Puntos: 12656 | Dist:   230.1km
2025-10-17 05:09:09 - INFO -   Gen  142 | Tiempo:  110.6m (resta: 369m) | Fitness:   9487.0 | Puntos: 12656 | Dist:   230.1km
2025-10-17 05:10:32 - INFO -   Gen  145 | Tiempo:  112.0m (resta: 368m) | Fitness:   9487.0 | Puntos: 12656 | Dist:   230.1km
2025-10-17 05:11:55 - INFO -   Gen  148 | Tiempo:  113.4m (resta: 366m) | Fitness:   9487.0 | Puntos: 12656 | Dist:   230.1km
2025-10-17 05:12:50 - INFO -   Gen  150 | Tiempo:  114.3m (resta: 365m) | Fitness:   9487.0 | Puntos: 12656 | Dist:   230.1km
2025-10-17 05:14:12 - INFO -   Gen  153 | Tiempo:  115.6m (resta: 364m) | Fitness:   9487.0 | Puntos: 12656 | Dist:   230.1km
2025-10-17 05:15:35 - INFO -   Gen  156 | Tiempo:  117.0m (resta: 362m) | Fitness:   9714.4 | Puntos: 12875 | Dist:   202.0km
2025-10-17 05:16:56 - INFO -   Gen  159 | Tiempo:  118.4m (resta: 361m) | Fitness:   9714.4 | Puntos: 12875 | Dist:   202.0km
2025-10-17 05:18:17 - INFO -   Gen  162 | Tiempo:  119.8m (resta: 360m) | Fitness:   9714.4 | Puntos: 12875 | Dist:   202.0km
2025-10-17 05:19:39 - INFO -   Gen  165 | Tiempo:  121.1m (resta: 358m) | Fitness:   9714.4 | Puntos: 12875 | Dist:   202.0km
2025-10-17 05:21:00 - INFO -   Gen  168 | Tiempo:  122.5m (resta: 357m) | Fitness:   9714.4 | Puntos: 12875 | Dist:   202.0km
2025-10-17 05:22:22 - INFO -   Gen  171 | Tiempo:  123.8m (resta: 356m) | Fitness:   9756.1 | Puntos: 13018 | Dist:   206.3km
2025-10-17 05:23:43 - INFO -   Gen  174 | Tiempo:  125.2m (resta: 354m) | Fitness:   9756.1 | Puntos: 13018 | Dist:   206.3km
2025-10-17 05:25:03 - INFO -   Gen  177 | Tiempo:  126.5m (resta: 353m) | Fitness:   9756.1 | Puntos: 13018 | Dist:   206.3km
2025-10-17 05:26:24 - INFO -   Gen  180 | Tiempo:  127.9m (resta: 352m) | Fitness:   9756.4 | Puntos: 13122 | Dist:   218.8km
2025-10-17 05:27:45 - INFO -   Gen  183 | Tiempo:  129.2m (resta: 350m) | Fitness:   9757.3 | Puntos: 13020 | Dist:   209.1km
2025-10-17 05:29:06 - INFO -   Gen  186 | Tiempo:  130.6m (resta: 349m) | Fitness:   9757.3 | Puntos: 13020 | Dist:   209.1km
2025-10-17 05:30:26 - INFO -   Gen  189 | Tiempo:  131.9m (resta: 348m) | Fitness:   9757.5 | Puntos: 12820 | Dist:   208.3km
2025-10-17 05:31:47 - INFO -   Gen  192 | Tiempo:  133.3m (resta: 346m) | Fitness:   9809.8 | Puntos: 12977 | Dist:   223.9km
2025-10-17 05:33:07 - INFO -   Gen  195 | Tiempo:  134.6m (resta: 345m) | Fitness:   9835.1 | Puntos: 13100 | Dist:   216.3km
2025-10-17 05:34:28 - INFO -   Gen  198 | Tiempo:  135.9m (resta: 344m) | Fitness:   9897.9 | Puntos: 12961 | Dist:   210.4km
2025-10-17 05:35:22 - INFO -   Gen  200 | Tiempo:  136.8m (resta: 343m) | Fitness:   9898.9 | Puntos: 12961 | Dist:   207.1km
2025-10-17 05:36:42 - INFO -   Gen  203 | Tiempo:  138.2m (resta: 341m) | Fitness:   9898.9 | Puntos: 12961 | Dist:   207.1km
2025-10-17 05:38:02 - INFO -   Gen  206 | Tiempo:  139.5m (resta: 340m) | Fitness:   9898.9 | Puntos: 12961 | Dist:   207.1km
2025-10-17 05:39:22 - INFO -   Gen  209 | Tiempo:  140.8m (resta: 339m) | Fitness:  10009.8 | Puntos: 12869 | Dist:   197.2km
2025-10-17 05:40:42 - INFO -   Gen  212 | Tiempo:  142.2m (resta: 337m) | Fitness:  10009.8 | Puntos: 12869 | Dist:   197.2km
2025-10-17 05:42:02 - INFO -   Gen  215 | Tiempo:  143.5m (resta: 336m) | Fitness:  10009.8 | Puntos: 12869 | Dist:   197.2km
2025-10-17 05:43:21 - INFO -   Gen  218 | Tiempo:  144.8m (resta: 335m) | Fitness:  10009.8 | Puntos: 12869 | Dist:   197.2km
2025-10-17 05:44:42 - INFO -   Gen  221 | Tiempo:  146.2m (resta: 333m) | Fitness:  10025.4 | Puntos: 13097 | Dist:   238.7km
2025-10-17 05:46:06 - INFO -   Gen  224 | Tiempo:  147.5m (resta: 332m) | Fitness:  10110.6 | Puntos: 12970 | Dist:   198.1km
2025-10-17 05:47:28 - INFO -   Gen  227 | Tiempo:  148.9m (resta: 331m) | Fitness:  10110.6 | Puntos: 12970 | Dist:   198.1km
2025-10-17 05:48:49 - INFO -   Gen  230 | Tiempo:  150.3m (resta: 329m) | Fitness:  10110.6 | Puntos: 12970 | Dist:   198.1km
2025-10-17 05:50:11 - INFO -   Gen  233 | Tiempo:  151.6m (resta: 328m) | Fitness:  10124.4 | Puntos: 12984 | Dist:   198.7km
2025-10-17 05:51:33 - INFO -   Gen  236 | Tiempo:  153.0m (resta: 326m) | Fitness:  10124.4 | Puntos: 12984 | Dist:   198.7km
2025-10-17 05:52:55 - INFO -   Gen  239 | Tiempo:  154.4m (resta: 325m) | Fitness:  10124.4 | Puntos: 12984 | Dist:   198.7km
2025-10-17 05:54:17 - INFO -   Gen  242 | Tiempo:  155.7m (resta: 324m) | Fitness:  10124.4 | Puntos: 12984 | Dist:   198.7km
2025-10-17 05:55:39 - INFO -   Gen  245 | Tiempo:  157.1m (resta: 322m) | Fitness:  10124.4 | Puntos: 12984 | Dist:   198.7km
2025-10-17 05:57:01 - INFO -   Gen  248 | Tiempo:  158.5m (resta: 321m) | Fitness:  10124.4 | Puntos: 12984 | Dist:   198.7km
2025-10-17 05:57:54 - INFO -   Gen  250 | Tiempo:  159.4m (resta: 320m) | Fitness:  10124.4 | Puntos: 12984 | Dist:   198.7km
2025-10-17 05:59:16 - INFO -   Gen  253 | Tiempo:  160.7m (resta: 319m) | Fitness:  10124.4 | Puntos: 12984 | Dist:   198.7km
2025-10-17 06:00:40 - INFO -   Gen  256 | Tiempo:  162.1m (resta: 317m) | Fitness:  10124.4 | Puntos: 12984 | Dist:   198.7km
2025-10-17 06:02:02 - INFO -   Gen  259 | Tiempo:  163.5m (resta: 316m) | Fitness:  10124.4 | Puntos: 12984 | Dist:   198.7km
2025-10-17 06:03:25 - INFO -   Gen  262 | Tiempo:  164.9m (resta: 315m) | Fitness:  10124.4 | Puntos: 12984 | Dist:   198.7km
2025-10-17 06:04:49 - INFO -   Gen  265 | Tiempo:  166.3m (resta: 313m) | Fitness:  10172.5 | Puntos: 13234 | Dist:   205.1km
2025-10-17 06:06:12 - INFO -   Gen  268 | Tiempo:  167.7m (resta: 312m) | Fitness:  10172.5 | Puntos: 13234 | Dist:   205.1km
2025-10-17 06:07:34 - INFO -   Gen  271 | Tiempo:  169.0m (resta: 310m) | Fitness:  10172.5 | Puntos: 13234 | Dist:   205.1km
2025-10-17 06:08:56 - INFO -   Gen  274 | Tiempo:  170.4m (resta: 309m) | Fitness:  10172.5 | Puntos: 13234 | Dist:   205.1km
2025-10-17 06:10:18 - INFO -   Gen  277 | Tiempo:  171.8m (resta: 308m) | Fitness:  10172.5 | Puntos: 13234 | Dist:   205.1km
2025-10-17 06:11:40 - INFO -   Gen  280 | Tiempo:  173.1m (resta: 306m) | Fitness:  10172.5 | Puntos: 13234 | Dist:   205.1km
2025-10-17 06:13:02 - INFO -   Gen  283 | Tiempo:  174.5m (resta: 305m) | Fitness:  10226.4 | Puntos: 13191 | Dist:   215.4km
2025-10-17 06:14:24 - INFO -   Gen  286 | Tiempo:  175.9m (resta: 304m) | Fitness:  10226.4 | Puntos: 13191 | Dist:   215.4km
2025-10-17 06:15:46 - INFO -   Gen  289 | Tiempo:  177.2m (resta: 302m) | Fitness:  10322.2 | Puntos: 13183 | Dist:   202.7km
2025-10-17 06:17:09 - INFO -   Gen  292 | Tiempo:  178.6m (resta: 301m) | Fitness:  10322.2 | Puntos: 13183 | Dist:   202.7km
2025-10-17 06:18:30 - INFO -   Gen  295 | Tiempo:  180.0m (resta: 300m) | Fitness:  10322.2 | Puntos: 13183 | Dist:   202.7km
2025-10-17 06:19:52 - INFO -   Gen  298 | Tiempo:  181.3m (resta: 298m) | Fitness:  10322.2 | Puntos: 13183 | Dist:   202.7km
2025-10-17 06:20:46 - INFO -   Gen  300 | Tiempo:  182.2m (resta: 297m) | Fitness:  10322.2 | Puntos: 13183 | Dist:   202.7km
2025-10-17 06:22:08 - INFO -   Gen  303 | Tiempo:  183.6m (resta: 296m) | Fitness:  10422.1 | Puntos: 13183 | Dist:   203.1km
2025-10-17 06:23:31 - INFO -   Gen  306 | Tiempo:  185.0m (resta: 295m) | Fitness:  10422.1 | Puntos: 13183 | Dist:   203.1km
2025-10-17 06:24:53 - INFO -   Gen  309 | Tiempo:  186.3m (resta: 293m) | Fitness:  10422.1 | Puntos: 13183 | Dist:   203.1km
2025-10-17 06:26:15 - INFO -   Gen  312 | Tiempo:  187.7m (resta: 292m) | Fitness:  10422.1 | Puntos: 13183 | Dist:   203.1km
2025-10-17 06:27:37 - INFO -   Gen  315 | Tiempo:  189.1m (resta: 290m) | Fitness:  10422.1 | Puntos: 13183 | Dist:   203.1km
2025-10-17 06:28:59 - INFO -   Gen  318 | Tiempo:  190.4m (resta: 289m) | Fitness:  10422.1 | Puntos: 13183 | Dist:   203.1km
2025-10-17 06:30:21 - INFO -   Gen  321 | Tiempo:  191.8m (resta: 288m) | Fitness:  10422.1 | Puntos: 13183 | Dist:   203.1km
2025-10-17 06:31:42 - INFO -   Gen  324 | Tiempo:  193.2m (resta: 286m) | Fitness:  10422.1 | Puntos: 13183 | Dist:   203.1km
2025-10-17 06:33:03 - INFO -   Gen  327 | Tiempo:  194.5m (resta: 285m) | Fitness:  10422.1 | Puntos: 13183 | Dist:   203.1km
2025-10-17 06:34:23 - INFO -   Gen  330 | Tiempo:  195.8m (resta: 284m) | Fitness:  10422.1 | Puntos: 13183 | Dist:   203.1km
2025-10-17 06:35:45 - INFO -   Gen  333 | Tiempo:  197.2m (resta: 282m) | Fitness:  10422.1 | Puntos: 13183 | Dist:   203.1km
2025-10-17 06:37:08 - INFO -   Gen  336 | Tiempo:  198.6m (resta: 281m) | Fitness:  10422.1 | Puntos: 13183 | Dist:   203.1km
2025-10-17 06:38:30 - INFO -   Gen  339 | Tiempo:  200.0m (resta: 280m) | Fitness:  10422.1 | Puntos: 13183 | Dist:   203.1km
2025-10-17 06:39:52 - INFO -   Gen  342 | Tiempo:  201.3m (resta: 278m) | Fitness:  10485.7 | Puntos: 13248 | Dist:   207.7km
2025-10-17 06:41:13 - INFO -   Gen  345 | Tiempo:  202.7m (resta: 277m) | Fitness:  10485.7 | Puntos: 13248 | Dist:   207.7km
2025-10-17 06:42:35 - INFO -   Gen  348 | Tiempo:  204.0m (resta: 275m) | Fitness:  10485.7 | Puntos: 13248 | Dist:   207.7km
2025-10-17 06:43:29 - INFO -   Gen  350 | Tiempo:  204.9m (resta: 275m) | Fitness:  10485.7 | Puntos: 13248 | Dist:   207.7km
